molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CHEMBL4213874,Cc1ccc(C[n+]2ccc(COc3ccc4c(C)cc(=O)oc4c3)cc2)cc1,IC50,=,250,nM,372.444,4.32464,0,3,6.602059991,0
CHEMBL4208961,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccccc4Br)cc3)ccc12,IC50,=,78.1,nM,437.313,4.77872,0,3,7.107348966,1
CHEMBL4218281,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc(Br)c4)cc3)ccc12,IC50,=,128.6,nM,437.313,4.77872,0,3,6.890759031,0
CHEMBL4213345,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccc(Br)cc4)cc3)ccc12,IC50,=,217.5,nM,437.313,4.77872,0,3,6.662540739,0
CHEMBL4205110,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4cccc([N+](=O)[O-])c4)cc3)ccc12,IC50,=,230,nM,403.414,3.92442,0,5,6.638272164,0
CHEMBL4216807,Cc1cc(=O)oc2cc(OCc3cc[n+](Cc4ccc([N+](=O)[O-])cc4)cc3)ccc12,IC50,=,1077,nM,403.414,3.92442,0,5,5.967784297,0
CHEMBL4218997,CN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccccc2)cc1,IC50,=,5800,nM,344.458,4.4998,1,2,5.236572006,0
CHEMBL4208392,CN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(O)cc2)cc1,IC50,=,3240,nM,360.457,4.2054,2,3,5.48945499,0
CHEMBL4207876,CCN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(O)cc2)cc1,IC50,=,6500,nM,374.484,4.5955,2,3,5.187086643,0
CHEMBL4214951,CN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(O)c(O)c2)cc1,IC50,=,4630,nM,376.456,3.911,3,4,5.334419009,0
CHEMBL4212229,CCN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(O)c(O)c2)cc1,IC50,=,7260,nM,390.483,4.3011,3,4,5.139063379,0
CHEMBL4217212,COc1ccc(CC(=O)Nc2ccc(CN(C)Cc3ccccc3)cc2)cc1O,IC50,=,3040,nM,390.483,4.214,2,4,5.517126416,0
CHEMBL4214755,CCN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(OC)c(O)c2)cc1,IC50,=,2760,nM,404.51,4.6041,2,4,5.559090918,0
CHEMBL4203538,COc1ccc(CC(=O)Nc2ccc(CN(C)Cc3ccccc3)cc2)cc1OC,IC50,=,1850,nM,404.51,4.517,1,4,5.732828272,0
CHEMBL4203653,CCN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(OC)c(OC)c2)cc1,IC50,=,3220,nM,418.537,4.9071,1,4,5.492144128,0
