molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CHEMBL2151153,CC(=O)N[C@@H](Cc1ccc(Cl)cc1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,8.3,nM,500.0830000000004,4.767800000000005,3.0,5.0,8.080921907623926,1
CHEMBL2151154,CC(=O)N[C@@H](Cc1ccc(OC(F)(F)F)cc1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,14.0,nM,549.6340000000004,5.013000000000004,3.0,6.0,7.853871964321762,1
CHEMBL2151235,CC(=O)N[C@@H](Cc1cccc(C(F)(F)F)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,2.4,nM,533.6350000000004,5.133200000000005,3.0,5.0,8.619788758288394,1
CHEMBL2151236,CC(=O)N[C@@H](Cc1ccc(F)cc1F)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,6.5,nM,501.6180000000004,4.392600000000003,3.0,5.0,8.187086643357144,1
CHEMBL2151237,CC(=O)N[C@@H](Cc1ccc(F)c(F)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,2.0,nM,501.6180000000004,4.392600000000003,3.0,5.0,8.698970004336019,1
CHEMBL2151238,CC(=O)N[C@@H](Cc1ccc(F)c(C)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,4.0,nM,497.6550000000004,4.561920000000004,3.0,5.0,8.397940008672037,1
CHEMBL2151239,CC(=O)N[C@@H](Cc1ccc(F)c(C(F)(F)F)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,11.0,nM,551.6250000000003,5.272300000000005,3.0,5.0,7.958607314841775,1
CHEMBL2151240,CC(=O)N[C@@H](Cc1ccc(F)c(OC(F)(F)F)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,2.1,nM,567.6240000000003,5.152100000000005,3.0,6.0,8.67778070526608,1
CHEMBL2151241,CC(=O)N[C@@H](Cc1ccc(F)c(C#N)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,2.4,nM,508.6380000000004,4.125180000000003,3.0,6.0,8.619788758288394,1
CHEMBL2151242,COc1cc(C[C@H](NC(C)=O)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)ccc1F,IC50,=,4.5,nM,513.6540000000005,4.262100000000002,3.0,6.0,8.346787486224656,1
CHEMBL2151243,CC(=O)N[C@@H](Cc1ccc(C)c(F)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,0.99,nM,497.6550000000004,4.561920000000004,3.0,5.0,9.0,1
CHEMBL2151244,COc1ccc(C[C@H](NC(C)=O)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)cc1F,IC50,=,3.6,nM,513.6540000000005,4.262100000000002,3.0,6.0,8.443697499232712,1
CHEMBL2151316,CC(=O)N[C@@H](Cc1ccc(C(F)(F)F)c(F)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,IC50,=,44.0,nM,551.6250000000003,5.272300000000005,3.0,5.0,7.356547323513812,1
CHEMBL2152899,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cn2c(C#N)cnc2C(N)=N1,IC50,=,38.9,nM,414.4040000000002,2.0471600000000003,2.0,8.0,7.410050398674292,1
CHEMBL2152900,C[C@@]1(c2cc(NC(=O)c3ccn(C(F)F)n3)ccc2F)Cn2c(C#N)cnc2C(N)=N1,IC50,=,44.67,nM,428.3780000000002,2.37208,2.0,8.0,7.349984047528161,1
CHEMBL2152901,C[C@@]1(c2cc(NC(=O)c3ccn(C(F)F)n3)ccc2F)Cn2cc(C(F)(F)F)nc2C(N)=N1,IC50,=,46.77,nM,471.3650000000002,3.5192000000000014,2.0,7.0,7.3300326300914955,1
CHEMBL2152903,CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,IC50,=,2.0,nM,476.5550000000002,4.759920000000003,1.0,5.0,8.698970004336019,1
